strategy,first_seen_in,novel,replicable,blocked_reason,base,tier,odds,oos_win,oos_roi,bets,backed,price_column,graded_against,min_odds_floor,hold_sec,window_sec,market_status_columns,reconciliation_gap,n_conditions,conditions
BAS_spec:HT_Unde_0010,COMBINA_1027.xlsx,False,True,,spec:HT_Underdog_Fade,Jobber,2.671,40.9,7.2,344,spec:HT_Underdog_Fade,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-2.04,1,tp_vel_n >= 0.0108
BAS_prop:first_s_0032,COMBINA_1027.xlsx,False,True,,prop:first_scorer_hold,Jobber,2.409,43.5,7.1,336,prop:first_scorer_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,2.31,1,nchg_120 <= 1
BAS_dog_leading_0134,COMBINA_1027.xlsx,False,True,,dog_leading,Npc,1.709,62.6,7,331,dog_leading,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,0.02,1,fav_odds_trend_60 <= 0.2231
BAS_prop:first_s_0024,COMBINA_1027.xlsx,False,False,"2 term(s) the engine cannot rebuild: pc_f3e46219, tg_overround",prop:first_scorer_hold,Jobber,2.213,49.1,7,320,prop:first_scorer_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-1.66,3,tg_overround <= 1.1237 AND pc_f3e46219 >= -2.5774 AND leader_runmax >= 1.8456
BAS_prop:shorten_0188,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: rk_dog_odds,prop:shortener_vs_open,Npc,1.654,64.9,6.9,300,prop:shortener_vs_open,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.44,1,rk_dog_odds >= 1.84
BAS_prop:drifter_0007,COMBINA_1027.xlsx,False,True,,prop:drifter_vs_open,Feeder,5.137,21.2,6.8,344,prop:drifter_vs_open,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-2.1,1,lead_vs_line <= -170.833
BAS_late_lead_ho_0088,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: trailer_price,late_lead_hold,Npc,1.568,67.9,6.5,348,late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,0.03,1,trailer_price >= 1.8518
BAS_q1_winner_0125,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: rk_implied_edge,q1_winner,Npc,1.513,70.6,6.3,388,q1_winner,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.52,1,rk_implied_edge >= 0.0536
BAS_late_lead_ho_0227,COMBINA_1027.xlsx,False,True,,late_lead_hold,Jobber,2.236,47.7,6.3,302,late_lead_hold,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-0.36,1,u_vel_t >= -0.0412
BAS_dog_leading_0169,COMBINA_1027.xlsx,False,False,1 term(s) the engine cannot rebuild: tg_overround,dog_leading,Jobber,2.33,46.4,6.3,341,dog_leading,backed-side price at arm,"final_winner (recorded settlement, never derived)",1.4,5,60,market_status · total_goals_market_active where present,-1.81,2,tg_overround <= 1.1169 AND opp_drift <= 1.0436
